FAVREAU, GILBERT - 2021-09-13-15:11:41 >> activProfCinqDerniereDto >> description,Avocat
Brosse, Laurent - 2021-02-24-17:08:20 >> activProfCinqDerniereDto >> commentaire,Avocat au barreau des Hauts-de-Seine.Montants 2020 arrêtés en août.
SCHALCK, ELSA - 2021-02-21-12:05:22 >> activProfCinqDerniereDto >> item >> commentaire,Poursuite de l'activité libérale d'avocat à titre individuel, en droit privé.
Gauvain, Raphael - 2021-05-10-09:26:43 >> activProfConjointDto >> activiteProf,Avocate exerçant à titre individuel.
SYLLA, Sira - 2017-08-16-15:10:47 >> activProfCinqDerniereDto >> description,Avocat
RAYEUR-KLEIN, LAURENCE - 2021-04-29-11:14:29 >> activProfConjointDto >> activiteProf,AVOCAT
DUPOND-MORETTI, Eric - 2020-10-30-15:16:15 >> participationDirigeantDto >> item >> nomSociete,SELARLU DUPOND-MORETTI AVOCAT
Foveau, Tristan - 2021-11-09-18:24:33 >> activProfConjointDto >> activiteProf,Avocate collaboratrice libérale 
        [Données non publiées]
Rivière, Jérôme - 2019-08-13-15:59:24 >> activConsultantDto >> item >> nomEmployeur,Avocat
SABATINI, Anaïs - 2020-08-30-18:32:41 >> activProfCinqDerniereDto >> item >> employeur,Avocate au sein de la SELARL NESE en collaboration libérale
Vogel, Louis - 2020-11-16-09:58:03 >> participationFinanciereDto >> item >> commentaire,Il s'agit du cabinet d'avocats au sein duquel j'exerce mon activité professionnelle.
AUBRY, MARTINE - 2021-02-18-09:20:03 >> activProfConjointDto >> employeurConjoint,Avocat en retraite
THOUROT, Alice - 2020-10-02-14:07:34 >> participationDirigeantDto >> item >> nomSociete,SAS D'AVOCAT THOUROT
THOUROT, Alice - 2017-08-18-09:02:12 >> participationFinanciereDto >> commentaire,Il s'agit de ma SAS d'AVOCAT (à rattacher à mon activité professionnelle)
SOW, Sileymane - 2020-09-04-23:39:36 >> activProfCinqDerniereDto >> item >> employeur,SELARL MQS Avocats
BOURDOULEIX, gilles - 2020-07-30-17:08:43 >> participationFinanciereDto >> commentaire,Associé cabinet d'avocat
Arminjon, Christophe - 2020-09-02-14:32:33 >> participationDirigeantDto >> commentaire,Détention du capital de la société d'exercice libéral ALTERIUS Avocats
THOUROT, Alice - 2020-07-03-16:04:11 >> activProfCinqDerniereDto >> item >> employeur,SAS D'AVOCAT THOUROT
